"X1","X2","X3","X4"
0.410369978840325,0.0386514780495664,0.0298042669591041,0.476243081275243
0.315154074838469,0.142248504914993,0.0654303179762079,0.516113873120994
0.410625139010282,0.0808465782737975,0.0391208967366233,0.359949762571712
0.292820409069932,0.0886660521171624,0.0249170904406925,0.282220087911744
0.352978174395213,0.0478233947234981,0.0569904282551006,0.332233803556025
0.622628172636348,0.0303203341937486,0.0634554958347561,0.58736519262052
0.449140995298324,0.0829873635889701,-0.0432543137761673,0.429957935669707
0.364259164045858,0.069799800814816,-0.0820801905819203,0.412132276001678
0.344959283916925,0.061722914247076,0.0589948588124601,0.493460694172161
0.425029589171348,0.0268205423577472,0.0963592860274457,0.327597834855263
0.265688388254322,0.102023075298732,0.0646644436534837,0.492811442382385
0.385216602363768,0.0567699114521073,0.20765725314822,0.302945726575015
